group,element,private_creator,vr,vm,keyword,name,description,retired,vendors,sources
0008,0064,,CS,1,ConversionType,Conversion Type,,N,standard,PS3.6
0008,0068,,CS,1,PresentationIntentType,Presentation Intent Type,,N,standard,PS3.6
0008,0070,,LO,1,Manufacturer,Manufacturer,,N,standard,PS3.6
0008,0080,,LO,1,InstitutionName,Institution Name,,N,standard,PS3.6
0008,0081,,ST,1,InstitutionAddress,Institution Address,,N,standard,PS3.6
0008,0082,,SQ,1,InstitutionCodeSequence,Institution Code Sequence,,N,standard,PS3.6
0008,0090,,PN,1,ReferringPhysicianName,Referring Physician's Name,,N,standard,PS3.6
0008,0092,,ST,1,ReferringPhysicianAddress,Referring Physician's Address,,N,standard,PS3.6
0008,0094,,SH,1-n,ReferringPhysicianTelephoneNumbers,Referring Physician's Telephone Numbers,,N,standard,PS3.6
0008,0096,,SQ,1,ReferringPhysicianIdentificationSequence,Referring Physician Identification Sequence,,N,standard,PS3.6
0008,009C,,PN,1-n,ConsultingPhysicianName,Consulting Physician's Name,,N,standard,PS3.6
0008,009D,,SQ,1,ConsultingPhysicianIdentificationSequence,Consulting Physician Identification Sequence,,N,standard,PS3.6
0008,0100,,SH,1,CodeValue,Code Value,,N,standard,PS3.6
0008,0101,,LO,1,ExtendedCodeValue,Extended Code Value,,N,standard,PS3.6
0008,0102,,SH,1,CodingSchemeDesignator,Coding Scheme Designator,,N,standard,PS3.6
0008,0103,,SH,1,CodingSchemeVersion,Coding Scheme Version,,N,standard,PS3.6
0008,0104,,LO,1,CodeMeaning,Code Meaning,,N,standard,PS3.6
0008,0105,,CS,1,MappingResource,Mapping Resource,,N,standard,PS3.6
0008,0106,,DT,1,ContextGroupVersion,Context Group Version,,N,standard,PS3.6
0008,0107,,DT,1,ContextGroupLocalVersion,Context Group Local Version,,N,standard,PS3.6
0008,0108,,LT,1,ExtendedCodeMeaning,Extended Code Meaning,,N,standard,PS3.6
0008,0109,,SQ,1,CodingSchemeResourcesSequence,Coding Scheme Resources Sequence,,N,standard,PS3.6
0008,010A,,CS,1,CodingSchemeURLType,Coding Scheme URL Type,,N,standard,PS3.6
0008,010B,,CS,1,ContextGroupExtensionFlag,Context Group Extension Flag,,N,standard,PS3.6
0008,010C,,UI,1,CodingSchemeUID,Coding Scheme UID,,N,standard,PS3.6
